Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,136.8262773,125.5773199,125.0686579,125.5106101,126.1026594,127.4535328
0.01,136.801261,125.6106748,125.0353031,125.4105455,126.0442883,127.5786137
0.02,136.9263423,125.5189488,125.0936741,125.5606425,125.9442237,127.6369848
0.03,136.9430198,125.6106748,125.0686579,125.4355616,125.8775139,127.5786137
0.04,137.1181337,125.6106748,125.0353031,125.4772552,125.9442237,127.4702102
0.05,137.109795,125.6273522,125.0686579,125.4355616,125.9775785,127.6536622
0.06,136.8095998,125.4689165,125.0102869,125.4772552,126.0192722,127.5952911
0.07,136.9680361,125.6106748,125.0686579,125.5272876,126.0609658,127.5786137
0.08,136.8429548,125.6190135,125.0353031,125.3855293,126.0859819,127.570275
0.09,136.767906,125.6106748,125.0769967,125.5272876,126.0359496,127.5035651
0.1,136.8846486,125.5356263,124.976932,125.485594,126.0442883,127.4535328
0.11,136.9180036,125.6023361,125.1103515,125.485594,125.9442237,127.570275
0.12,137.0514237,125.4272229,125.0269643,125.5356263,125.9192075,127.4535328
0.13,137.0347462,125.5606425,125.0853354,125.4689165,125.9775785,127.6119686
0.14,136.9430198,125.4272229,125.0769967,125.5022714,126.0025947,127.5869524
0.15,136.9263423,125.5189488,125.0436418,125.485594,125.8775139,127.4952264
0.16,136.8763098,125.5106101,125.0436418,125.5272876,126.0609658,127.6536622
0.17,136.834616,125.5356263,125.0519805,125.5022714,126.0442883,127.4618715
0.18,137.0013911,125.3188195,125.0769967,125.4605778,125.9525624,127.6453235
0.19,137.0013911,125.5022714,125.0186256,125.5272876,125.9192075,127.7120333
0.2,136.9346811,125.5356263,125.1603839,125.4355616,125.9692398,127.6203073
0.21,136.9596974,125.4605778,125.0102869,125.4522391,125.9192075,127.4451941
0.22,137.0681012,125.5523037,125.1186903,125.4439004,125.9442237,127.6036299
0.23,136.8763098,125.5106101,124.9602546,125.4022068,126.0859819,127.6953559
0.24,136.8929873,125.4939327,125.1020128,125.543965,126.052627,127.5869524
0.25,136.9513586,125.4689165,125.0853354,125.4022068,126.0693045,127.5786137
0.26,137.0430849,125.3688519,125.1103515,125.4772552,126.0609658,127.5285813
0.27,136.9763749,125.3771906,125.0686579,125.4772552,125.9859173,127.5035651
0.28,136.9263423,125.5022714,125.0769967,125.5272876,125.9609011,127.6203073
0.29,136.9180036,125.5356263,125.0686579,125.543965,125.9275462,127.662001
0.3,137.0180686,125.5106101,125.0603192,125.3855293,126.0776432,127.570275
0.31,137.0347462,125.3771906,125.1020128,125.5606425,126.0609658,127.4868877
0.32,136.9763749,125.5272876,125.0102869,125.4772552,126.0776432,127.4285166
0.33,136.8596323,125.5189488,125.1937387,125.5356263,126.0693045,127.4868877
0.34,136.834616,125.5272876,125.0269643,125.5022714,126.0192722,127.4451941
0.35,136.767906,125.4689165,125.1186903,125.393868,126.0276109,127.6786784
0.36,136.9180036,125.4689165,125.0853354,125.485594,125.9358849,127.5202426
0.37,136.9847136,125.4939327,125.1020128,125.4522391,125.9108688,127.4702102
0.38,136.9346811,125.5106101,125.0186256,125.5272876,126.0609658,127.570275
0.39,136.9180036,125.6190135,125.0603192,125.4022068,126.0859819,127.6453235
0.4,136.8929873,125.5773199,125.0436418,125.4939327,126.0693045,127.5452588
0.41,136.9596974,125.6190135,125.0769967,125.543965,126.0025947,127.6119686
0.42,136.8846486,125.485594,125.2354323,125.4355616,126.052627,127.6286461
0.43,136.8095998,125.5856586,125.0436418,125.5523037,125.9525624,127.6703397
0.44,136.7845835,125.5022714,125.0353031,125.4772552,125.9358849,127.5786137
0.45,136.9180036,125.4355616,125.0436418,125.5189488,125.9859173,127.6286461
0.46,137.0514237,125.5773199,125.0603192,125.4689165,126.0609658,127.6286461
0.47,137.0180686,125.6190135,125.0853354,125.4522391,126.0109334,127.6119686
0.48,136.9847136,125.5523037,125.0853354,125.543965,125.8858526,127.5452588
0.49,136.9096648,125.6106748,125.0019482,125.3771906,125.8608364,127.6536622
0.5,136.8763098,125.6190135,125.1353677,125.5606425,126.0276109,127.6119686
0.51,136.9013261,125.6023361,125.0186256,125.4772552,125.9609011,127.6119686
0.52,136.9013261,125.4439004,125.0769967,125.4605778,125.9525624,127.4035004
0.53,136.8763098,125.5689812,125.0269643,125.4772552,126.0109334,127.6119686
