Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,0.062713624,0.2048041,0.111416186,0.075658618,0.067949601,-0.026177028
0.01,0.012681092,0.104739439,0.186464668,0.067319896,0.101304491,-0.142919196
0.02,-0.020673929,0.146433048,0.078061305,0.033965012,0.026255988,-0.076209386
0.03,0.062713624,0.154771769,0.169787227,0.042303733,0.067949601,-0.13458047
0.04,-0.037351439,0.046368388,0.053045145,0.159045831,0.084627046,-0.001160848
0.05,-0.087383969,0.179787935,0.328222918,0.000610127,-0.040453791,-0.13458047
0.06,-0.095722724,0.213142822,0.111416186,-0.032744757,0.092965768,-0.017838301
0.07,-0.087383969,0.113078161,0.169787227,0.008948848,0.126320659,-0.06787066
0.08,0.012681092,-0.078712431,0.186464668,0.109013503,0.142998104,-0.217967731
0.09,0.096068645,0.196465378,0.178125948,0.075658618,0.126320659,-0.109564292
0.1,0.071052379,0.179787935,0.103077465,0.01728757,-0.090486124,-0.026177028
0.11,-0.154094008,0.113078161,0.111416186,0.15070711,0.109643214,-0.042854481
0.12,-0.112400234,0.046368388,0.103077465,0.067319896,0.001239821,-0.051193207
0.13,-0.062367705,0.188126657,0.253174432,0.083997339,0.109643214,0.032194058
0.14,-0.045690194,0.213142822,0.253174432,0.117352224,-0.007098902,-0.109564292
0.15,-0.003996419,0.279852598,0.178125948,0.025626291,-0.015437624,-0.051193207
0.16,-0.079045214,0.238158988,0.186464668,0.184061996,0.21804661,-0.059531934
0.17,-0.120738989,0.254836432,0.136432346,0.008948848,0.109643214,-0.017838301
0.18,0.146101179,0.213142822,0.119754906,0.125690946,0.109643214,-0.076209386
0.19,-0.079045214,0.388255988,0.061383865,0.033965012,0.101304491,-0.059531934
0.2,-0.187449027,0.238158988,0.128093626,0.033965012,0.126320659,0.073887692
0.21,-0.270836572,0.063045831,0.028028985,0.083997339,0.076288323,-0.042854481
0.22,-0.104061479,-0.028680104,0.111416186,-0.007728594,0.001239821,0.107242599
0.23,-0.062367705,-0.028680104,0.036367705,0.142368388,0.017917266,-0.076209386
0.24,-0.029012684,0.013013503,0.194803389,0.008948848,0.101304491,-0.101225565
0.25,0.054374868,0.038029667,0.128093626,0.01728757,0.15967555,-0.017838301
0.26,0.012681092,-0.028680104,0.21981955,0.033965012,-0.090486124,-0.109564292
0.27,0.021019847,0.013013503,0.169787227,0.058981175,-0.007098902,0.098903872
0.28,0.012681092,0.013013503,0.103077465,0.159045831,0.142998104,-0.076209386
0.29,0.079391134,0.038029667,0.111416186,0.025626291,0.134659382,0.040532785
0.3,-0.087383969,0.088061996,0.078061305,0.09233606,0.009578543,-0.034515754
0.31,-0.145755253,0.104739439,0.236496991,0.134029667,0.092965768,-0.051193207
0.32,-0.07070646,-0.037018825,0.161448507,0.083997339,0.134659382,-0.017838301
0.33,0.046036113,-0.070373709,0.161448507,-0.016067315,0.109643214,-0.076209386
0.34,0.071052379,-0.062034988,0.044706425,0.008948848,-0.015437624,-0.084548113
0.35,0.021019847,-0.00366394,0.169787227,0.083997339,0.03459471,-0.059531934
0.36,-0.029012684,0.079723274,0.028028985,0.083997339,0.092965768,-0.051193207
0.37,-0.045690194,0.046368388,0.178125948,0.083997339,0.067949601,-0.034515754
0.38,-0.05402895,-0.020341382,0.069722585,0.142368388,0.168014273,-0.092886839
0.39,-0.179110272,-0.128744757,0.186464668,-0.032744757,-0.023776346,-0.076209386
0.4,-0.187449027,-0.070373709,0.186464668,0.15070711,0.109643214,-0.126241744
0.41,-0.179110272,-0.112067315,0.136432346,0.025626291,0.059610878,-0.026177028
0.42,0.004342336,-0.103728594,0.144771067,0.125690946,0.117981936,-0.059531934
0.43,0.129423667,-0.053696267,0.111416186,0.109013503,0.084627046,-0.109564292
0.44,-0.037351439,-0.087051152,0.136432346,0.083997339,0.067949601,-0.234645182
0.45,0.029358602,-0.120406036,0.069722585,0.125690946,0.176352996,-0.059531934
0.46,-0.095722724,-0.137083478,0.203142109,0.01728757,0.184691719,-0.06787066
0.47,-0.195787781,-0.212131965,0.078061305,0.067319896,0.001239821,0.148936234
0.48,-0.162432763,-0.245486847,0.194803389,0.117352224,0.142998104,-0.042854481
0.49,0.012681092,-0.028680104,0.211480829,0.008948848,-0.107163568,0.082226419
0.5,-0.003996419,0.029690946,0.194803389,0.134029667,-0.082147402,-0.126241744
0.51,0.079391134,-0.16209964,0.169787227,-0.024406036,0.101304491,-0.017838301
0.52,0.08772989,-0.145422199,0.094738745,0.125690946,0.042933433,-0.126241744
0.53,0.054374868,-0.062034988,0.094738745,0.100674782,0.184691719,0.015516605
0.54,-0.129077744,-0.137083478,0.094738745,0.117352224,0.109643214,-0.13458047
0.55,-0.254159063,-0.062034988,0.161448507,0.083997339,-0.015437624,-0.009499575
0.56,-0.104061479,-0.212131965,0.22815827,0.083997339,0.117981936,-0.126241744
0.57,-0.087383969,-0.062034988,0.194803389,0.117352224,0.134659382,-0.13458047
0.58,0.012681092,-0.020341382,0.069722585,-0.082777082,0.03459471,-0.142919196
0.59,0.08772989,-0.037018825,0.136432346,0.142368388,0.03459471,0.065548965
0.6,0.08772989,-0.028680104,0.061383865,0.167384553,0.092965768,-0.159596649
0.61,0.004342336,-0.012002661,0.144771067,0.067319896,-0.040453791,-0.06787066
0.62,0.029358602,-0.137083478,0.061383865,0.159045831,0.151336827,-0.042854481
0.63,-0.003996419,-0.028680104,0.244835711,0.008948848,0.176352996,0.13225878
0.64,-0.104061479,-0.078712431,0.019690265,0.117352224,0.142998104,-0.101225565
0.65,-0.129077744,0.021352224,0.136432346,0.067319896,0.084627046,0.082226419
0.66,-0.020673929,-0.053696267,0.086400025,0.01728757,0.067949601,-0.167935375
0.67,0.121084912,-0.012002661,0.128093626,0.142368388,0.042933433,0.032194058
0.68,0.137762423,-0.00366394,0.111416186,0.083997339,0.101304491,-0.06787066
0.69,0.096068645,-0.028680104,0.128093626,0.117352224,-0.040453791,0.13225878
0.7,-0.020673929,-0.145422199,0.269851873,0.125690946,0.226385333,-0.117903018
0.71,-0.05402895,0.079723274,0.086400025,0.117352224,0.184691719,-0.034515754
0.72,-0.037351439,0.046368388,0.144771067,0.15070711,0.126320659,-0.06787066
0.73,-0.003996419,0.046368388,0.119754906,0.000610127,0.134659382,-0.001160848
0.74,-0.05402895,0.088061996,0.161448507,0.175723274,-0.123841012,-0.126241744
0.75,-0.037351439,-0.028680104,0.094738745,0.075658618,-0.065469957,-0.001160848
0.76,0.021019847,-0.062034988,0.178125948,0.117352224,0.092965768,-0.092886839
0.77,0.104407401,-0.137083478,0.111416186,0.134029667,0.142998104,-0.001160848
0.78,0.121084912,-0.078712431,0.169787227,0.025626291,0.234724056,-0.084548113
0.79,-0.037351439,-0.112067315,0.203142109,0.175723274,0.117981936,-0.009499575
0.8,-0.145755253,-0.178777082,0.186464668,0.000610127,0.101304491,-0.117903018
0.81,-0.104061479,0.013013503,0.119754906,0.075658618,0.126320659,-0.092886839
0.82,-0.112400234,-0.053696267,0.161448507,0.058981175,0.017917266,-0.092886839
0.83,-0.137416499,-0.178777082,0.119754906,0.075658618,0.084627046,0.065548965
0.84,-0.003996419,-0.028680104,0.153109787,0.167384553,-0.032115069,-0.051193207
0.85,0.029358602,-0.145422199,0.119754906,0.000610127,0.126320659,0.015516605
0.86,0.046036113,-0.062034988,0.253174432,0.159045831,0.126320659,-0.192951553
0.87,0.062713624,-0.137083478,0.144771067,0.109013503,0.126320659,-0.017838301
0.88,-0.029012684,-0.262164289,0.211480829,0.067319896,0.084627046,-0.13458047
0.89,-0.095722724,-0.237148127,0.128093626,0.109013503,0.03459471,-0.051193207
0.9,-0.120738989,-0.228809406,0.169787227,0.067319896,0.142998104,0.040532785
0.91,-0.062367705,-0.070373709,0.161448507,0.159045831,0.092965768,-0.001160848
0.92,0.037697357,-0.245486847,0.053045145,0.109013503,0.15967555,0.015516605
0.93,0.096068645,-0.120406036,0.161448507,0.117352224,0.21804661,0.065548965
0.94,0.037697357,-0.228809406,0.044706425,0.09233606,0.109643214,-0.13458047
0.95,0.012681092,-0.053696267,0.161448507,0.025626291,0.184691719,-0.084548113
0.96,0.021019847,-0.203793244,0.211480829,0.109013503,0.101304491,-0.101225565
0.97,0.096068645,-0.120406036,0.136432346,0.000610127,-0.090486124,-0.001160848
0.98,0.004342336,-0.145422199,0.111416186,0.083997339,0.084627046,-0.051193207
0.99,-0.120738989,-0.078712431,0.236496991,0.083997339,0.084627046,0.015516605
1,-0.045690194,-0.070373709,0.128093626,0.025626291,0.151336827,-0.151257922
1.01,0.062713624,-0.045357546,0.086400025,0.125690946,0.142998104,-0.109564292
1.02,0.096068645,-0.028680104,0.153109787,0.000610127,0.184691719,-0.092886839
1.03,-0.07070646,-0.187115803,0.211480829,0.09233606,0.026255988,0.015516605
1.04,-0.137416499,0.004674782,0.169787227,0.109013503,-0.032115069,-0.059531934
1.05,-0.020673929,0.038029667,0.061383865,0.109013503,-0.082147402,0.015516605
1.06,-0.003996419,-0.00366394,0.178125948,0.167384553,-0.07380868,-0.076209386
1.07,-0.079045214,-0.128744757,0.211480829,0.058981175,0.059610878,-0.026177028
1.08,-0.003996419,0.071384553,0.194803389,0.134029667,0.184691719,-0.142919196
1.09,-0.045690194,0.004674782,0.236496991,0.01728757,0.209707887,0.107242599
1.1,0.004342336,-0.028680104,0.186464668,0.033965012,0.15967555,-0.142919196
1.11,0.054374868,-0.120406036,0.128093626,0.15070711,0.168014273,0.123920053
1.12,0.154439934,0.004674782,0.069722585,0.083997339,0.15967555,-0.142919196
1.13,-0.029012684,0.088061996,0.186464668,0.159045831,0.026255988,-0.001160848
1.14,-0.129077744,0.096400718,0.111416186,0.033965012,0.026255988,0.065548965
1.15,-0.21246529,0.071384553,0.211480829,0.159045831,-0.032115069,-0.001160848
1.16,-0.020673929,-0.037018825,0.111416186,0.159045831,-0.040453791,-0.167935375
1.17,0.004342336,-0.170438361,0.178125948,0.109013503,0.017917266,-0.017838301
1.18,0.004342336,-0.087051152,0.21981955,0.100674782,0.134659382,-0.059531934
1.19,0.037697357,-0.095389873,0.194803389,0.000610127,0.076288323,0.165613688
1.2,0.029358602,-0.187115803,0.111416186,0.159045831,0.101304491,-0.126241744
1.21,0.021019847,-0.203793244,0.161448507,0.033965012,0.101304491,0.082226419
1.22,-0.029012684,-0.012002661,0.111416186,0.09233606,0.017917266,-0.226306457
1.23,-0.062367705,-0.095389873,0.136432346,0.167384553,0.15967555,-0.009499575
1.24,-0.137416499,-0.262164289,0.136432346,0.067319896,0.126320659,0.098903872
1.25,-0.05402895,-0.128744757,0.128093626,0.15070711,0.026255988,0.023855331
1.26,0.129423667,-0.045357546,0.119754906,0.042303733,0.201369164,0.073887692
1.27,0.079391134,-0.087051152,0.303206756,0.142368388,0.084627046,-0.059531934
1.28,0.046036113,-0.095389873,0.161448507,0.184061996,-0.057131235,-0.084548113
1.29,-0.003996419,-0.120406036,0.094738745,0.134029667,0.042933433,-0.076209386
1.3,-0.137416499,-0.262164289,0.178125948,0.192400718,0.067949601,-0.059531934
1.31,-0.162432763,-0.303857891,0.194803389,0.075658618,-0.040453791,-0.026177028
1.32,-0.195787781,-0.178777082,0.144771067,0.067319896,0.001239821,-0.126241744
1.33,-0.029012684,-0.095389873,0.103077465,0.067319896,0.15967555,-0.034515754
1.34,-0.062367705,-0.220470686,0.153109787,0.075658618,0.109643214,-0.034515754
1.35,0.029358602,-0.095389873,0.094738745,-0.016067315,0.201369164,-0.026177028
1.36,0.121084912,-0.220470686,0.136432346,0.033965012,0.059610878,0.048871511
