Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,3.781801121,-2.847166513,9.359071922,-4.202102248,1.902469149,-10.00761556
0.01,3.331507738,-4.756731212,7.007546103,-3.201456989,3.586892685,-12.46753056
0.02,3.748446053,-2.355182395,3.872181445,-7.187358609,11.9089606,-12.70101392
0.03,4.107013057,-3.464231223,-1.547988655,-5.594666338,12.51769001,-12.75938475
0.04,4.056980448,-4.239731283,8.525197288,1.259757279,11.10843993,-4.979376308
0.05,7.701024586,-6.232682127,0.119754906,-5.2444407,13.91860208,-12.25906326
0.06,2.430921203,-5.957504893,5.248072418,-6.728730031,14.00198972,-10.7831144
0.07,0.713136623,-4.248069993,-5.475521006,-4.652392504,14.41892799,-10.74142092
0.08,3.690074685,-4.564940926,-2.973908645,2.385485333,16.65371825,-8.264827118
0.09,-0.854549313,-6.682972092,0.56170711,-1.984004801,18.54662045,-7.656101733
0.1,-1.229793152,-7.375084316,-8.627549621,6.571529882,4.170604046,-8.406585067
0.11,0.54636148,-4.756731212,-6.851406915,-7.420842222,13.15143586,-7.806198415
0.12,-1.146405637,-4.573279634,-4.54158597,-4.402231259,11.38361889,-5.15448926
0.13,1.196784597,-6.399456196,-5.192005044,3.127632219,-5.7024407,-2.669552106
0.14,-0.562692958,-6.949810559,-8.035502167,-5.919875823,6.738935483,0.682614811
0.15,2.814504319,-4.631650592,-6.834729513,-6.26176268,-10.38878993,21.65459802
0.16,-0.779500539,-3.597650602,-6.226004307,-7.045600692,-11.66460975,2.233618748
0.17,0.504667696,-4.698360256,-3.199053844,-5.069327865,-13.73260416,3.651203739
0.18,-1.63839194,-5.548908347,-8.218953503,-4.068682899,-14.39969884,4.393351462
0.19,-3.189399024,-5.415489055,-7.943776495,-4.760795703,-0.265599283,4.126511808
0.2,-1.204776898,-1.704762586,-4.599956918,-5.361182584,-14.58314986,6.411327177
0.21,-2.01363567,-3.797779661,-8.77764614,1.851806793,-17.13478559,8.470998137
0.22,-0.596047972,-3.747747397,-10.52043297,11.3496323,-17.68513813,12.13171275
0.23,-2.25545938,-2.121698377,-11.0707865,-0.091115803,-20.12003007,9.730149981
0.24,-1.72177944,-0.012002661,-2.081666393,-2.092408099,-16.96801207,8.704483203
0.25,0.26284376,4.265764552,-6.009198039,-0.282906374,-19.91990203,7.470348083
0.26,0.888250534,2.397888799,-9.653209025,-3.868553866,-16.84293193,7.82891431
0.27,-1.204776898,0.463304491,-6.818052112,-4.860860192,-15.14184151,5.485726562
0.28,4.965906311,3.465246221,-6.651278094,1.15135386,-16.53440089,4.05146316
0.29,3.248120083,3.290132866,-6.075907661,3.619617341,-16.87628663,2.100199021
0.3,2.489292543,-0.253825568,-5.433827484,-4.752456996,-12.9070743,1.85003705
0.31,3.706752219,-1.788149749,-5.700666016,-3.059698884,-16.07577362,1.09955127
