Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,10.47783972,-6.983165365,7.324418259,-12.02380125,-6.544649904,-10.57464699
0.01,14.06352144,-7.767003216,5.448202071,-21.98851763,-5.318860192,-4.15384368
0.02,6.033269197,-5.640634107,3.380196351,-23.44778319,16.35352243,-1.051840202
0.03,5.199391905,-3.597650602,12.01079496,-17.58570109,15.81150229,13.6577069
0.04,5.17437559,-5.073602091,6.123639753,-21.75503508,13.88524702,-3.386681837
0.05,4.357176111,-2.505279253,-4.066279634,-20.18736611,9.24889806,2.817330128
0.06,4.36551488,-5.290408463,-0.872552628,-12.04881732,8.390006952,1.499810328
0.07,2.822843083,-2.388537253,-8.902726568,-9.18864614,15.3945638,11.00597993
0.08,-1.946925678,-5.807408209,-7.201632319,-19.8371421,17.7711141,4.4433839
0.09,2.789488028,-4.064618384,2.404565145,-18.29448824,15.11938443,12.97392799
0.1,-1.70510194,-3.405860242,-11.22922159,-17.80250659,15.32785365,19.32807549
0.11,-1.780150689,-1.638052854,-14.90658118,-18.66138976,15.97827771,19.62827183
0.12,-4.72372775,-1.663069004,-12.25488014,-18.34452027,10.66648592,16.16767734
0.13,-4.131677093,0.571707887,-11.83794581,-15.88461131,16.55365297,22.85538468
0.14,-1.338196918,3.273455404,0.028028985,-12.54079985,5.429753253,18.81940956
0.15,-3.364512672,4.524265311,-7.760325142,-2.942956909,15.35286996,18.68598901
0.16,-5.515908009,0.721804905,-17.42486128,1.168031309,8.573459399,12.83216897
0.17,7.726040925,2.030984778,-18.54224322,-4.694086043,9.949353145,14.07464534
0.18,7.867800184,4.274103285,-18.4922112,-4.95258597,4.487475978,9.980312669
0.19,-4.515259224,2.864857621,2.454597507,-2.626085812,5.604866764,-0.242983908
0.2,-2.213765639,11.73728013,-10.4954169,-2.651101953,-1.516407251,11.50630557
0.21,-2.330508113,10.67825826,-14.53967928,4.928798507,-5.744134231,-8.148085273
0.22,-4.181709548,9.786011814,-16.07399604,10.68253198,-2.933988965,-5.946666771
0.23,2.614373991,3.215084289,-4.975198701,4.695313923,-3.509360171,-9.373874422
0.24,-0.862888066,1.180434728,-11.50439831,11.7999251,-10.82240196,-9.440584021
0.25,-0.796178045,-0.045357546,-12.08810642,13.99301894,-10.90578888,-11.20004918
0.26,-0.537676698,-0.412261255,-10.93736747,8.489440841,-12.84870349,-12.54257879
0.27,5.299457166,2.081017141,-12.48836334,13.57608081,-10.85575673,-14.87741151
0.28,2.247468428,-2.34684368,-8.127227836,17.90390182,-14.50810172,-14.36041298
0.29,3.464927992,6.275400119,-10.77893237,13.35093424,-14.25794124,-13.15964189
0.3,4.323821036,-2.046649939,-4.266408627,6.771659659,-0.499083478,-16.44508394
0.31,12.31237391,-1.596359271,17.00571436,3.219358253,-15.12516415,-18.53809221
0.32,12.38742306,-3.339150549,-2.673715021,5.745994704,-15.76724251,-18.22122252
0.33,8.985196973,-4.256408702,20.0743841,1.810113161,-18.83587496,-17.22891986
0.34,7.334118308,0.755159799,1.220466181,1.15135386,-15.54209816,-18.60480161
0.35,1.396914818,-2.321827536,-4.183021548,-1.933972508,-15.5671142,-17.07882364
0.36,1.296849706,2.6313732,4.997910373,-1.208504171,-15.17519624,-16.4617613
0.37,10.08591668,-3.747747397,7.507870577,-8.096276858,-14.56647249,-14.7690086
0.38,0.379586347,-1.754794884,5.398169656,-8.763372649,-17.41830054,-17.97940089
0.39,0.312876297,0.338223654,5.114652658,-4.694086043,-17.42663922,-11.55861304
0.4,0.39626386,-3.939537736,10.03451056,-1.200165453,-12.91541298,-12.87612642
0.41,1.413592337,-0.920923138,8.141615041,-13.20789469,-14.64152063,-11.78375777
0.42,1.096719491,1.313854327,9.484153139,-18.81148583,-9.479872229,-13.3097383
0.43,0.529683966,1.530661189,6.840771298,-20.41251011,-8.212390209,-15.30268442
0.44,-2.705751749,-0.74581004,13.37835125,-18.61135774,-12.65691369,-10.40787305
0.45,-1.338196918,3.715408175,13.18655978,-20.58762209,-5.685763288,-13.36810913
0.46,-1.413245677,2.22277551,6.282075776,-19.08666193,-8.887824772,-12.28407934
0.47,3.731768519,0.546691719,3.888858907,-20.19570478,-5.227134411,-14.45213853
0.48,-4.615324118,0.655095118,-4.741714931,-18.84484051,-5.427263384,-7.747827484
0.49,-6.75837975,1.797500425,9.675944349,-23.54784709,-1.966697988,12.56532849
0.5,-6.77505722,4.849475978,-0.755810583,-8.062922065,-0.490744757,-7.906262865
0.51,7.250730525,9.052201872,-12.49670203,-19.55362739,4.979461418,-2.027470686
0.52,-3.247770242,6.850773225,-15.34853114,-26.64982661,5.262978491,-8.856874978
0.53,-3.206076515,5.783414514,-10.30362701,-25.69922028,15.87821246,-6.913956918
0.54,-1.229793152,10.82001707,-13.49734411,-14.62547075,10.31625826,-2.185906374
0.55,0.08772989,1.038676411,-19.2426914,-20.97953935,10.23287073,3.943059561
0.56,4.999261395,6.617288472,-23.0951538,-17.06870331,9.849288122,-1.960760919
0.57,1.538673734,5.950189286,-15.54865941,-21.58826182,13.44329254,-1.068517649
0.58,7.475877546,2.43958244,-6.242681711,-18.99493657,8.873654339,7.128459399
0.59,9.610605838,-2.163391953,-18.31709913,-21.57158449,4.529169656,6.336278466
0.6,9.593928266,-3.464231223,-15.20677362,-7.212374711,4.912751523,5.827615041
0.61,4.940889999,-3.505924779,-21.4274217,-19.47857937,1.869114238,6.811586998
0.62,9.502201624,-5.123634332,-19.51786744,-18.0109734,4.028845561,8.946307042
0.63,7.926171646,-6.582907661,-17.33313588,-4.360537716,0.584950445,10.71412336
0.64,4.36551488,-6.416133602,-15.66540089,-10.74798177,-1.641488018,7.79555931
0.65,5.816461075,-1.554665687,-20.36007273,-8.171325142,-4.543360318,2.909056213
0.66,6.883824311,-3.981231286,-22.23627187,-8.905130486,-2.325262784,6.444682159
0.67,4.307143499,-4.289763539,-16.23243088,-5.060989159,-10.14696782,2.266973681
0.68,4.390531187,-5.757375979,-15.16508023,0.709401503,-13.56583047,7.295234361
0.69,3.831833724,-2.98058592,-8.160582624,-5.778117847,-7.028294687,2.041827892
0.7,4.390531187,-6.132617681,-13.69747249,5.40410647,-8.63766384,5.102144417
0.71,1.872224155,-4.898489241,-13.52236016,2.618969726,-12.1649311,3.392702893
0.72,2.080693189,-6.733004307,-11.46270487,12.85894738,-12.85704218,-1.085195095
0.73,0.529683966,-5.148650452,-11.96302612,10.24891686,-11.07256271,0.857728117
0.74,0.487990182,-5.665650223,-8.702597882,13.21751407,-12.08988291,6.336278466
0.75,0.137762423,-3.530940913,1.37890193,15.3522377,-9.471533534,2.041827892
0.76,0.738152895,-2.463585682,-2.690392445,18.62937541,-12.34004356,2.43374835
0.77,7.167342744,-2.955569782,-3.132344157,19.99693538,-9.604952664,2.967427359
0.78,1.605383815,-1.804827182,12.45274905,19.11302459,-10.27204823,-6.863924677
0.79,0.029358602,-2.088343516,0.570045831,8.447747111,-13.49912099,0.991147785
0.8,1.071703216,3.890521556,5.765074049,9.006443155,-9.663323531,-7.264182584
0.81,1.021670665,-0.879229544,18.03972224,1.334805802,-11.69796451,1.599875101
0.82,4.974245082,1.088708758,11.47711464,0.976240654,-10.71399896,0.916099221
0.83,-0.254159063,7.292726562,11.01014445,8.864684447,-11.93144782,-1.393727845
0.84,-0.829533056,0.371578543,10.06786556,9.081491887,-8.937856956,-5.613118371
0.85,-0.045690194,-0.75414876,10.36806057,-17.16876741,-10.26370953,-2.961407251
0.86,0.446296399,6.642304695,9.984478064,-21.98017896,-8.687696028,-0.284677537
0.87,4.707404428,4.149022281,4.080649731,-20.64599275,-8.320793297,-3.261601083
0.88,4.740759509,11.90405526,16.61379213,-26.38298977,-5.577360105,-2.386035652
0.89,2.839520612,7.075919256,0.545029667,-24.6151952,-0.774261255,-3.086488018
0.9,16.66522863,10.14457811,2.387887692,-25.32398086,-7.328487962,-4.637489086
0.91,5.91652636,12.66288226,1.520660239,-27.28356402,-5.193779581,-7.114085875
0.92,9.835753067,9.67760806,-1.331182046,-29.44327355,-3.876263491,-5.121134413
0.93,10.26103122,0.071384553,-3.190715133,-30.65237677,-3.726166684,-0.693275069
0.94,5.733073341,1.747468066,0.178125948,-30.30215381,-0.707551493,-5.196182819
0.95,5.699718248,-2.113359662,-5.725682127,-30.61068356,2.627938569,-9.082019908
0.96,8.4348373,-5.357118112,-7.109906622,-15.29256515,0.901821977,-8.014666016
0.97,5.708057021,-5.3404407,-3.207392555,-28.60107037,7.364341226,-6.788876314
0.98,9.819075493,2.88987381,-7.18495492,-21.52155251,7.464406158,-9.432245322
0.99,5.241085763,-5.056924677,-9.127871324,-29.93525353,7.264276297,-5.546408687
1,9.919140934,-6.54955285,-10.89567403,-26.24957134,8.640169383,-5.796569996
1.01,6.183367138,0.379917266,-0.288842355,-27.33359591,12.13410708,-0.192951553
1.02,6.258416111,-9.943403001,-8.744291359,-18.21110153,16.85384881,-1.302001896
1.03,3.97359277,-12.76188014,-10.52043297,-21.71334176,10.60811464,-2.727923138
1.04,4.715743198,-12.36996187,-11.79625238,-17.9526027,8.515088165,1.89173071
1.05,6.233399787,-3.330811837,-8.2272922,-22.69730384,15.00264168,1.041180162
1.06,3.765123587,-11.27759368,-10.94570616,-18.75311514,8.790266852,-0.568194198
1.07,7.100632522,-14.07105357,-8.794323531,-19.55362739,14.21879761,2.216941282
1.08,8.276400446,-8.75930829,9.559201872,-14.984034,6.39704707,8.237513091
1.09,8.276400446,-9.318000922,-9.761612032,-10.63957879,8.098150812,4.63517492
1.1,2.947924547,-5.123634332,-10.06180495,-8.838420917,4.420766095,8.112431825
1.11,3.398217864,-10.38535373,-11.47938225,-8.363115192,0.735047482,7.136798147
1.12,4.415547494,-10.76893355,-7.593551176,-6.386843227,4.095555435,8.329239357
1.13,10.03588395,-8.80934047,-7.393422404,-2.71781166,8.339974469,14.44155123
1.14,8.559919034,-3.681037712,-6.859745615,6.704949731,-1.441358788,7.887285561
1.15,4.707404428,-7.808696713,-7.660260764,16.35289,-5.877553524,6.511392127
1.16,4.724081968,3.406875101,6.832432558,-2.109085529,-4.810199007,7.920640562
1.17,7.567604115,-2.905537504,-4.966859996,7.972438625,-2.650472677,6.094454859
1.18,6.658677342,-6.682972092,-2.707069869,27.10158811,0.268078949,7.478686832
1.19,12.9377836,-4.756731212,4.31413423,7.805663737,0.268078949,1.991795497
1.2,4.732420738,-3.572634469,2.079354818,11.50806865,-0.298954169,7.095104408
1.21,5.799783528,1.497306286,13.04480087,19.09634703,-0.273938004,7.370283098
1.22,6.383497739,5.524913638,4.097327195,15.92761273,-0.323970333,1.291342061
1.23,5.157698048,2.106033324,5.281427359,26.24269122,-6.978262472,0.440791693
1.24,5.074310334,3.014954759,7.074256028,14.57673243,-9.763387873,-5.237876377
1.25,7.000567191,2.781470326,10.60988435,8.481102095,-9.313098309,6.703183291
1.26,4.490596417,5.800091991,19.64910628,12.89230242,-7.737084316,-2.627858512
1.27,4.707404428,5.775075776,11.11854824,20.13869469,-6.994939877,-5.521392555
1.28,5.524604017,4.107328614,4.97289417,10.78259702,-7.912197022,-4.762569782
1.29,4.448902571,0.605062779,4.91452303,7.939083647,-7.120020413,-2.727923138
1.3,4.398869956,0.87190193,9.684283098,-13.82495728,-6.661391756,-9.857518984
1.31,7.317440751,0.705127458,-0.680762123,-15.30090383,-6.561327312,-7.697795256
1.32,2.731116681,1.013660239,0.828546209,-16.47665737,-5.477295625,-4.629150373
1.33,4.79079213,3.7737793,10.91841817,-16.18480369,-5.202118288,-9.715761103
1.34,5.216069448,-0.870890825,-1.147730287,-19.32848334,-6.236117847,-12.23404719
1.35,14.89740165,-0.879229544,4.781103285,-25.67420432,-5.610714931,-12.89280381
1.36,3.064667251,-5.448843878,-5.150311518,-17.75247455,-3.217505226,-5.121134413
1.37,3.098022311,-5.365456818,-7.618567271,-4.493957051,-3.334247208,-16.86201796
1.38,3.55665442,-3.564295758,-5.85076268,-29.71011015,-3.717827972,-19.79723199
1.39,3.28981391,1.822516605,-7.610228573,-33.09559791,-3.275876217,-22.90755535
1.4,4.874179834,-2.021633793,-12.02973561,-29.40158032,-2.992359962,-19.66381323
1.41,8.97685819,-5.282069756,-10.94570616,-25.93270256,-1.783246214,-20.38093901
1.42,5.282779622,-6.616262472,-11.34596323,-31.49457946,1.093612658,-21.18978999
1.43,3.87352756,-3.964553866,-7.17661622,-35.43875387,1.18533864,-21.18145132
1.44,3.848511258,-3.139021459,-7.860389518,-35.98910345,0.234724056,-16.8453406
1.45,7.167342744,-4.589957051,-6.601245887,-32.48687744,1.277064625,-17.18722647
1.46,3.9402377,-4.114650642,-3.149021579,-30.7190859,1.327096982,-20.96464592
1.47,7.909494086,-3.022279484,-8.043840864,-22.19698417,3.720312414,-18.42968942
1.48,8.643306859,-5.223698811,-11.79625238,-29.48496677,6.713919256,-14.18530056
1.49,2.614373991,-4.531586093,-8.827678312,-30.2020901,5.012816366,-16.89537268
1.5,4.315482267,-4.631650592,-6.317730031,-31.81978639,10.85827728,-11.83378993
1.51,4.332159805,-3.689376422,-6.609584588,-30.24378331,14.28550774,-1.135227435
1.52,7.63431435,-3.505924779,-8.30234047,-20.66267008,11.76720171,-12.88446511
1.53,4.423886263,-3.989569996,-5.85076268,-17.72745854,12.44264117,-7.706133961
1.54,4.29880473,-0.9042457,3.705406827,-9.53053263,11.16681122,-3.603488465
1.55,2.989618369,-4.381489337,-0.822520323,-18.5946804,14.63573592,1.85003705
1.56,3.331507738,-3.747747397,1.854209228,-20.08730211,12.57606134,-2.936391097
1.57,2.064015666,-1.579681837,-1.422907921,-17.51065303,12.73449779,10.21379787
1.58,2.030660619,-1.921569205,0.803530043,0.209078161,14.26049144,10.13041029
1.59,15.78965378,1.580693544,2.24612934,-14.82559908,15.27782104,10.04702272
1.6,2.172419569,0.838547035,1.345547035,-4.535650592,7.072485195,5.635823938
1.61,2.205774617,4.073973681,2.879872614,-4.910892435,7.964730873,20.41211798
1.62,2.239129666,6.450513661,1.128740226,2.352130421,5.521479376,9.146437132
1.63,12.57087656,7.242694105,-0.205455164,9.365009334,4.003829359,9.396599766
1.64,1.930595483,7.534550116,3.780455404,9.932044318,2.394454138,12.77379761
1.65,1.91391796,7.684647505,1.487305342,17.67041611,0.943515602,15.12533052
1.66,4.098674289,11.65389257,8.725327177,14.64344255,-0.148857178,18.19400077
1.67,8.293078009,9.57754306,1.695773453,18.69608564,-0.440712431,15.29210598
1.68,4.782453359,7.484517655,2.821501517,14.91028306,0.69335386,8.604418172
1.69,10.4194682,6.717353364,4.656022281,18.7878122,-2.450343516,10.51399315
1.7,6.466885494,7.909793604,5.139668863,21.38117366,-5.218795703,7.720510562
1.71,6.441869168,6.392142479,1.754144527,25.03356504,-6.41123064,11.75646843
1.72,6.383497739,7.050903029,3.997262415,22.30677919,-7.403536276,6.619795826
1.73,5.349489798,3.131696983,10.23464056,-2.88458592,-6.57800472,3.367686683
1.74,4.440563802,1.163757279,5.04794278,16.2945186,-7.42855238,-0.443113322
1.75,6.108318166,0.504998104,0.828546209,6.554852401,-9.229711346,2.100199021
1.76,4.907534916,1.639064625,-1.18942387,-7.229052112,-9.796742653,-0.726629967
1.77,6.783758989,2.431243712,3.813810328,-1.45032697,-10.79738588,1.800004658
1.78,2.147403283,1.297176877,1.037014273,-12.42405824,-10.14696782,-2.961407251
1.79,2.189097093,-0.228809406,-0.380568263,-14.7338736,-10.56390249,-1.352034232
1.8,3.014634663,-0.187115803,1.011998104,-17.59403977,-11.92310913,-6.213505464
1.81,7.534248999,-1.879875626,0.211480829,-19.4452247,-8.395841587,-5.054424718
1.82,13.2546579,-0.979294168,1.020336827,-20.39583277,-11.55620678,-8.264827118
1.83,-0.962953094,-3.080650472,-2.807134413,-19.98723811,-13.5491531,-9.724099802
1.84,-1.246470655,-0.920923138,-2.298472947,-19.63701407,-11.92310913,-8.081375645
1.85,-1.413245677,-0.83753595,-0.388906982,-23.75631355,-12.74863925,-13.15964189
1.86,-1.346535669,-2.296811392,-1.464601499,-26.34129651,-9.838436127,-12.16733765
1.87,-0.187449027,-1.721440019,0.22815827,-26.73321311,-11.44780381,-12.55925617
1.88,-1.246470655,-2.413553396,1.90424158,-25.81596142,-9.221372649,-14.3520743
1.89,-0.737806775,-2.405214682,2.187758256,-27.90062402,-6.211101733,-10.00761556
1.9,0.296198785,-1.554665687,3.496938569,-29.30985523,-8.154019314,-16.52013207
1.91,0.137762423,-1.129391097,2.062677366,-25.16554643,-7.261778348,-2.494439006
1.92,-1.988619423,0.730143628,8.650278466,-30.2020901,-7.578649002,-7.714472666
1.93,-1.980280674,2.673066846,2.721436782,-27.98401049,-5.860876113,-12.56759486
1.94,3.014634663,-0.303857891,1.845870503,-27.66714187,-2.70884368,-15.90306962
1.95,2.089031951,0.638417672,1.670757279,-27.10011372,-3.2008278,-12.82609428
